1.11667 951.94
1.12667 940.63
1.13667 929.479
1.14667 918.491
1.15667 907.674
1.16667 897.032
1.17667 886.57
1.18667 876.294
1.19667 866.209
1.20667 856.318
1.21667 846.627
1.22667 837.138
1.23667 827.856
1.24667 818.785
1.25667 809.927
1.26667 801.287
1.27667 792.867
1.28667 784.67
1.29667 776.699
1.30667 768.958
1.31667 761.449
1.32667 754.174
1.33667 747.137
1.34667 740.34
1.35667 733.785
1.36667 727.475
1.37667 721.412
1.38667 715.6
1.39667 710.04
1.40667 704.735
1.41667 699.688
1.42667 694.901
1.43667 690.376
1.44667 686.117
1.45667 682.125
1.46667 678.404
1.47667 674.956
1.48667 671.784
1.49667 668.891
1.50667 666.278
1.51667 663.949
1.52667 661.907
1.53667 660.154
1.54667 658.694
1.55667 657.528
1.56667 656.66
1.57667 656.092
1.58667 655.827
1.59667 655.868
1.60667 656.217
1.61667 656.876
1.62667 657.85
1.63667 659.139
1.64667 660.746
1.65667 662.673
1.66667 664.923
1.67667 667.498
1.68667 670.399
1.69667 673.628
1.70667 677.187
1.71667 681.078
1.72667 685.3
1.73667 689.855
1.74667 694.745
1.75667 699.969
1.76667 705.527
1.77667 711.42
1.78667 717.648
1.79667 724.208
1.80667 731.101
1.81667 738.326
1.82667 745.879
1.83667 753.76
1.84667 761.965
1.85667 770.491
1.86667 779.336
1.87667 788.495
1.88667 797.963
1.89667 807.737
1.90667 817.81
1.91667 828.177
1.92667 838.831
