0.3 2 6373.61
0.3 2.03 5965.95
0.3 2.06 5573.81
0.3 2.09 5198.61
0.3 2.12 4841.65
0.3 2.15 4504.15
0.3 2.18 4187.23
0.3 2.21 3891.9
0.3 2.24 3619.04
0.3 2.27 3369.44
0.3 2.3 3143.77
0.3 2.33 2942.54
0.3 2.36 2766.18
0.3 2.39 2614.96
0.3 2.42 2489.05
0.3 2.45 2388.47
0.3 2.48 2313.16
0.3 2.51 2262.94
0.3 2.54 2237.51
0.3 2.57 2236.49
0.3 2.6 2259.38
0.3 2.63 2305.59
0.3 2.66 2374.41
0.3 2.69 2464.96
0.3 2.72 2552.2
0.3 2.75 2664.75
0.3 2.78 2797.55
0.3 2.81 2949.74
0.3 2.84 3120.38
0.3 2.87 3308.51
0.3 2.9 3513.14
0.3 2.93 3733.25
0.3 2.96 3967.87
0.3 2.99 4216.04
0.3 3.02 4476.78
0.3 3.05 4749.18
0.3 3.08 5032.31
0.3 3.11 5325.26
0.3 3.14 5627.13
0.3 3.17 5937
0.3 3.2 6253.99
0.3 3.23 6577.24
0.3 3.26 6905.88
0.3 3.29 7239.12
0.3 3.32 7576.16
0.3 3.35 7916.3
0.3 3.38 8258.85
0.3 3.41 8603.17
0.3 3.44 8948.68
0.3 3.47 9294.83
0.308 2 6229.81
0.308 2.03 5809.76
0.308 2.06 5405.6
0.308 2.09 5018.81
0.308 2.12 4650.79
0.308 2.15 4302.82
0.308 2.18 3976.07
0.308 2.21 3671.62
0.308 2.24 3390.41
0.308 2.27 3133.27
0.308 2.3 2900.89
0.308 2.33 2693.84
0.308 2.36 2512.56
0.308 2.39 2357.33
0.308 2.42 2228.34
0.308 2.45 2125.63
0.308 2.48 2049.11
0.308 2.51 1998.61
0.308 2.54 1973.82
0.308 2.57 1974.35
0.308 2.6 1999.67
0.308 2.63 2049.17
0.308 2.66 2122.11
0.308 2.69 2217.57
0.308 2.72 2305.47
0.308 2.75 2423.73
0.308 2.78 2562.97
0.308 2.81 2722.27
0.308 2.84 2900.65
0.308 2.87 3097.07
0.308 2.9 3310.5
0.308 2.93 3539.87
0.308 2.96 3784.16
0.308 2.99 4042.32
0.308 3.02 4313.37
0.308 3.05 4596.32
0.308 3.08 4890.19
0.308 3.11 5194.02
0.308 3.14 5506.86
0.308 3.17 5827.77
0.308 3.2 6155.8
0.308 3.23 6490.03
0.308 3.26 6829.59
0.308 3.29 7173.62
0.308 3.32 7521.31
0.308 3.35 7871.9
0.308 3.38 8224.69
0.308 3.41 8579.03
0.308 3.44 8934.32
0.308 3.47 9289.98
0.316 2 6099.45
0.316 2.03 5667.2
0.316 2.06 5251.18
0.316 2.09 4852.97
0.316 2.12 4474.05
0.316 2.15 4115.75
0.316 2.18 3779.33
0.316 2.21 3465.91
0.316 2.24 3176.49
0.316 2.27 2911.95
0.316 2.3 2673.03
0.316 2.33 2460.31
0.316 2.36 2274.26
0.316 2.39 2115.21
0.316 2.42 1983.32
0.316 2.45 1878.65
0.316 2.48 1801.12
0.316 2.51 1750.55
0.316 2.54 1726.61
0.316 2.57 1728.9
0.316 2.6 1756.87
0.316 2.63 1809.89
0.316 2.66 1887.18
0.316 2.69 1987.8
0.316 2.72 2076.27
0.316 2.75 2200.48
0.316 2.78 2346.4
0.316 2.81 2513.05
0.316 2.84 2699.4
0.316 2.87 2904.36
0.316 2.9 3126.82
0.316 2.93 3365.68
0.316 2.96 3619.83
0.316 2.99 3888.2
0.316 3.02 4169.74
0.316 3.05 4463.4
0.316 3.08 4768.17
0.316 3.11 5083.03
0.316 3.14 5406.97
0.316 3.17 5739.01
0.316 3.2 6078.15
0.316 3.23 6423.43
0.316 3.26 6773.94
0.316 3.29 7128.76
0.316 3.32 7487.06
0.316 3.35 7848.06
0.316 3.38 8211.02
0.316 3.41 8575.28
0.316 3.44 8940.2
0.316 3.47 9305.21
0.324 2 5982.5
0.324 2.03 5538.28
0.324 2.06 5110.62
0.324 2.09 4701.2
0.324 2.12 4311.55
0.324 2.15 3943.11
0.324 2.18 3597.19
0.324 2.21 3274.97
0.324 2.24 2977.52
0.324 2.27 2705.76
0.324 2.3 2460.46
0.324 2.33 2242.25
0.324 2.36 2051.63
0.324 2.39 1888.93
0.324 2.42 1754.34
0.324 2.45 1647.91
0.324 2.48 1569.58
0.324 2.51 1519.14
0.324 2.54 1496.28
0.324 2.57 1500.55
0.324 2.6 1531.41
0.324 2.63 1588.18
0.324 2.66 1670.07
0.324 2.69 1776.09
0.324 2.72 1865.02
0.324 2.75 1995.43
0.324 2.78 2148.29
0.324 2.81 2322.54
0.324 2.84 2517.1
0.324 2.87 2730.82
0.324 2.9 2962.54
