0.3 2 5942.52
0.3 2.03 5556.38
0.3 2.06 5185.15
0.3 2.09 4830.22
0.3 2.12 4492.85
0.3 2.15 4174.25
0.3 2.18 3875.48
0.3 2.21 3597.51
0.3 2.24 3341.23
0.3 2.27 3107.36
0.3 2.3 2896.55
0.3 2.33 2709.3
0.3 2.36 2545.97
0.3 2.39 2406.84
0.3 2.42 2292.04
0.3 2.45 2201.57
0.3 2.48 2135.34
0.3 2.51 2093.15
0.3 2.54 2074.69
0.3 2.57 2079.55
0.3 2.6 2107.23
0.3 2.63 2157.09
0.3 2.66 2228.4
0.3 2.69 2313.62
0.3 2.72 2406.96
0.3 2.75 2520.2
0.3 2.78 2652.63
0.3 2.81 2803.4
0.3 2.84 2971.59
0.3 2.87 3156.25
0.3 2.9 3356.43
0.3 2.93 3571.14
0.3 2.96 3799.42
0.3 2.99 4040.34
0.3 3.02 4292.98
0.3 3.05 4556.44
0.3 3.08 4829.82
0.3 3.11 5112.25
0.3 3.14 5402.87
0.3 3.17 5700.8
0.3 3.2 6005.2
0.3 3.23 6315.24
0.3 3.26 6630.11
0.3 3.29 6949.03
0.3 3.32 7271.26
0.3 3.35 7596.13
0.3 3.38 7922.99
0.3 3.41 8251.26
0.3 3.44 8580.37
0.3 3.47 8909.81
0.308 2 5818.34
0.308 2.03 5420.04
0.308 2.06 5037.01
0.308 2.09 4670.68
0.308 2.12 4322.43
0.308 2.15 3993.51
0.308 2.18 3685.05
0.308 2.21 3398.09
0.308 2.24 3133.54
0.308 2.27 2892.2
0.308 2.3 2674.73
0.308 2.33 2481.66
0.308 2.36 2313.4
0.308 2.39 2170.23
0.308 2.42 2052.27
0.308 2.45 1959.56
0.308 2.48 1891.99
0.308 2.51 1849.36
0.308 2.54 1831.34
0.308 2.57 1837.51
0.308 2.6 1867.35
0.308 2.63 1920.2
0.308 2.66 1995.3
0.308 2.69 2081.17
0.308 2.72 2178.98
0.308 2.75 2297.47
0.308 2.78 2435.85
0.308 2.81 2593.22
0.308 2.84 2768.61
0.308 2.87 2961.02
0.308 2.9 3169.42
0.308 2.93 3392.78
0.308 2.96 3630.11
0.308 2.99 3880.4
0.308 3.02 4142.68
0.308 3.05 4416.01
0.308 3.08 4699.46
0.308 3.11 4992.09
0.308 3.14 5293
0.308 3.17 5601.28
0.308 3.2 5916.03
0.308 3.23 6236.37
0.308 3.26 6561.47
