0.0625 0.125 0.0445495 0 
0.1875 0.125 0.527468 0.174221 
0.3125 0.125 1.43253 0.842915 
0.4375 0.125 3.48475 1.68221 
0.5625 0.125 5.90423 2.29971 
0.6875 0.125 8.49356 3.86485 
0.8125 0.125 12.5921 2.88561 
0.9375 0.125 13.4921 5.08829 
1.0625 0.125 11.1488 5.21403 
1.1875 0.125 10.0191 5.13515 
1.3125 0.125 12.7355 7.68899 
1.4375 0.125 18.3958 6.70724 
1.5625 0.125 27.0912 7.08627 
1.6875 0.125 36.4248 7.54125 
1.8125 0.125 46.9731 7.47924 
1.9375 0.125 54.8995 8.86844 
2.0625 0.125 61.5834 7.38325 
2.1875 0.125 65.1047 6.2747 
2.3125 0.125 68.0031 7.7105 
2.4375 0.125 70.7065 7.92291 
2.5625 0.125 71.3392 7.0308 
2.6875 0.125 70.3095 7.91377 
2.8125 0.125 69.8871 7.17352 
2.9375 0.125 67.9126 6.99937 
3.0625 0.125 63.9707 7.4005 
3.1875 0.125 60.9726 6.57153 
3.3125 0.125 55.694 6.76348 
3.4375 0.125 51.1676 6.20706 
3.5625 0.125 45.7181 6.57941 
3.6875 0.125 40.7124 6.38571 
3.8125 0.125 35.8675 6.87784 
3.9375 0.125 31.1623 5.65356 
4.0625 0.125 26.2881 6.07175 
4.1875 0.125 22.4831 5.82453 
4.3125 0.125 18.9686 4.6562 
4.4375 0.125 15.1919 4.67984 
4.5625 0.125 12.317 4.54644 
4.6875 0.125 9.90527 4.22488 
4.8125 0.125 8.16662 3.95575 
4.9375 0.125 6.59989 4.32138 
5.0625 0.125 5.22999 3.88409 
5.1875 0.125 4.21129 4.21046 
5.3125 0.125 3.3503 4.61019 
5.4375 0.125 2.94553 4.2165 
5.5625 0.125 2.37251 3.85092 
5.6875 0.125 2.06437 3.33165 
5.8125 0.125 1.80883 2.62422 
5.9375 0.125 1.51179 4.21015 
6.0625 0.125 1.33567 3.41738 
6.1875 0.125 1.31338 3.76459 
6.3125 0.125 1.10816 2.61431 
6.4375 0.125 1.0393 2.68938 
6.5625 0.125 0.903057 2.86774 
6.6875 0.125 0.868922 2.71533 
6.8125 0.125 0.84345 2.98029 
6.9375 0.125 0.776171 2.33661 
7.0625 0.125 0.659864 2.9455 
7.1875 0.125 0.689733 2.05343 
7.3125 0.125 0.64015 2.04912 
7.4375 0.125 0.631427 3.62869 
7.5625 0.125 0.596166 2.29703 
7.6875 0.125 0.509858 1.92912 
7.8125 0.125 0.529097 3.14916 
7.9375 0.125 0.51458 2.19663 
8.5 1 3.39424 19.6258 
9.5 1 2.49552 15.8174 
11 2 3.68069 31.2275 
13 2 2.33631 25.6591 
15 2 1.65973 22.375 
17 2 0.981247 16.6609 
19 2 0.52404 13.6292 
25 10 0.858027 33.819 
35 10 0.109834 6.28412 
45 10 0.0213458 1.61649 
55 10 0.00539949 0.264995 
65 10 0.00135793 0.0842824 
75 10 0.000192968 0.117463 
85 10 6.43717e-05 0 
95 10 6.48842e-06 0 
105 10 0 0 
