# sin^2(theta_24)   Delta_m^2_41   chi^2
1.58489e-05 0.398107 1.8888e-08
1.58489e-05 0.501187 1.93151e-08
1.58489e-05 0.630957 2.42508e-08
1.58489e-05 0.794328 2.85135e-08
1.58489e-05 1 3.04512e-08
1.58489e-05 1.25893 1.72194e-08
1.58489e-05 1.58489 2.21366e-08
1.58489e-05 1.99526 2.49409e-08
1.58489e-05 2.51189 1.49882e-08
1.58489e-05 3.16228 1.7878e-08
1.58489e-05 3.98107 2.09626e-08
1.58489e-05 5.01187 1.56895e-08
1.58489e-05 6.30957 2.69033e-08
1.58489e-05 7.94328 1.33749e-08
1.58489e-05 10 2.13536e-08
1.58489e-05 12.5893 1.54609e-08
1.58489e-05 15.8489 1.30216e-08
1.58489e-05 19.9526 2.05451e-08
1.58489e-05 25.1189 1.98755e-08
1.58489e-05 31.6228 2.71937e-08
1.58489e-05 39.8107 2.90391e-08
1.58489e-05 50.1187 2.18874e-08
1.58489e-05 63.0957 2.03201e-08
1.58489e-05 79.4328 1.9675e-08
1.99526e-05 0.0001 2.84941e-09
1.99526e-05 0.000125893 3.086e-09
1.99526e-05 0.000158489 3.45942e-09
1.99526e-05 0.000199526 4.04845e-09
1.99526e-05 0.000251189 4.98686e-09
1.99526e-05 0.000316228 6.512e-09
1.99526e-05 0.000398107 9.03451e-09
1.99526e-05 0.000501187 1.31829e-08
1.99526e-05 0.000630957 1.97121e-08
1.99526e-05 0.000794328 2.90503e-08
1.99526e-05 0.001 3.97688e-08
1.99526e-05 0.00125893 4.51575e-08
1.99526e-05 0.00158489 3.43967e-08
1.99526e-05 0.00199526 1.19352e-08
1.99526e-05 0.00251189 1.82584e-09
1.99526e-05 0.00316228 7.69609e-09
1.99526e-05 0.00398107 4.0917e-08
1.99526e-05 0.00501187 6.8458e-08
1.99526e-05 0.00630957 3.96562e-08
1.99526e-05 0.00794328 3.07934e-08
1.99526e-05 0.01 3.82213e-08
1.99526e-05 0.0125893 4.52174e-08
1.99526e-05 0.0158489 3.43284e-08
1.99526e-05 0.0199526 3.2818e-08
1.99526e-05 0.0251189 2.39874e-08
1.99526e-05 0.0316228 3.55561e-08
1.99526e-05 0.0398107 3.86266e-08
1.99526e-05 0.0501187 3.18724e-08
1.99526e-05 0.0630957 2.6366e-08
1.99526e-05 0.0794328 4.09481e-08
1.99526e-05 0.1 2.67262e-08
1.99526e-05 0.125893 2.7895e-08
1.99526e-05 0.158489 3.70388e-08
1.99526e-05 0.199526 2.20344e-08
1.99526e-05 0.251189 3.52946e-08
1.99526e-05 0.316228 2.87196e-08
1.99526e-05 0.398107 2.99353e-08
1.99526e-05 0.501187 3.06121e-08
1.99526e-05 0.630957 3.84347e-08
1.99526e-05 0.794328 4.51906e-08
1.99526e-05 1 4.82616e-08
1.99526e-05 1.25893 2.72906e-08
1.99526e-05 1.58489 3.50838e-08
1.99526e-05 1.99526 3.95284e-08
1.99526e-05 2.51189 2.37544e-08
1.99526e-05 3.16228 2.83344e-08
1.99526e-05 3.98107 3.32232e-08
1.99526e-05 5.01187 2.4866e-08
1.99526e-05 6.30957 4.26385e-08
1.99526e-05 7.94328 2.11976e-08
1.99526e-05 10 3.38429e-08
1.99526e-05 12.5893 2.45037e-08
1.99526e-05 15.8489 2.06377e-08
1.99526e-05 19.9526 3.25615e-08
1.99526e-05 25.1189 3.15003e-08
1.99526e-05 31.6228 4.30988e-08
1.99526e-05 39.8107 4.60236e-08
1.99526e-05 50.1187 3.4689e-08
1.99526e-05 63.0957 3.22049e-08
1.99526e-05 79.4328 3.11825e-08
2.51189e-05 0.0001 4.51589e-09
2.51189e-05 0.000125893 4.89086e-09
2.51189e-05 0.000158489 5.48266e-09
2.51189e-05 0.000199526 6.41618e-09
2.51189e-05 0.000251189 7.90343e-09
2.51189e-05 0.000316228 1.03206e-08
2.51189e-05 0.000398107 1.43184e-08
2.51189e-05 0.000501187 2.08931e-08
2.51189e-05 0.000630957 3.12413e-08
2.51189e-05 0.000794328 4.60413e-08
2.51189e-05 0.001 6.30291e-08
2.51189e-05 0.00125893 7.15699e-08
2.51189e-05 0.00158489 5.45151e-08
2.51189e-05 0.00199526 1.8916e-08
2.51189e-05 0.00251189 2.89388e-09
2.51189e-05 0.00316228 1.21974e-08
2.51189e-05 0.00398107 6.48487e-08
2.51189e-05 0.00501187 1.08498e-07
2.51189e-05 0.00630957 6.28504e-08
2.51189e-05 0.00794328 4.88042e-08
2.51189e-05 0.01 6.05763e-08
2.51189e-05 0.0125893 7.16643e-08
2.51189e-05 0.0158489 5.44064e-08
2.51189e-05 0.0199526 5.20126e-08
2.51189e-05 0.0251189 3.8017e-08
2.51189e-05 0.0316228 5.63521e-08
2.51189e-05 0.0398107 6.12184e-08
2.51189e-05 0.0501187 5.05138e-08
2.51189e-05 0.0630957 4.17869e-08
2.51189e-05 0.0794328 6.4898e-08
2.51189e-05 0.1 4.23577e-08
2.51189e-05 0.125893 4.42103e-08
2.51189e-05 0.158489 5.87019e-08
2.51189e-05 0.199526 3.49217e-08
2.51189e-05 0.251189 5.59378e-08
2.51189e-05 0.316228 4.5517e-08
2.51189e-05 0.398107 4.74438e-08
2.51189e-05 0.501187 4.85165e-08
2.51189e-05 0.630957 6.09142e-08
2.51189e-05 0.794328 7.16218e-08
2.51189e-05 1 7.64888e-08
2.51189e-05 1.25893 4.32522e-08
2.51189e-05 1.58489 5.56035e-08
2.51189e-05 1.99526 6.26478e-08
2.51189e-05 2.51189 3.76476e-08
2.51189e-05 3.16228 4.49065e-08
2.51189e-05 3.98107 5.26546e-08
2.51189e-05 5.01187 3.94095e-08
2.51189e-05 6.30957 6.75768e-08
2.51189e-05 7.94328 3.35957e-08
2.51189e-05 10 5.36369e-08
2.51189e-05 12.5893 3.88353e-08
2.51189e-05 15.8489 3.27081e-08
2.51189e-05 19.9526 5.16059e-08
2.51189e-05 25.1189 4.99242e-08
2.51189e-05 31.6228 6.83065e-08
2.51189e-05 39.8107 7.29419e-08
2.51189e-05 50.1187 5.49777e-08
2.51189e-05 63.0957 5.10409e-08
2.51189e-05 79.4328 4.94203e-08
3.16228e-05 0.0001 7.15698e-09
3.16228e-05 0.000125893 7.75123e-09
3.16228e-05 0.000158489 8.68913e-09
3.16228e-05 0.000199526 1.01686e-08
3.16228e-05 0.000251189 1.25257e-08
3.16228e-05 0.000316228 1.63565e-08
3.16228e-05 0.000398107 2.26926e-08
3.16228e-05 0.000501187 3.31127e-08
3.16228e-05 0.000630957 4.95134e-08
3.16228e-05 0.000794328 7.29701e-08
3.16228e-05 0.001 9.98943e-08
3.16228e-05 0.00125893 1.13431e-07
3.16228e-05 0.00158489 8.64005e-08
3.16228e-05 0.00199526 2.99798e-08
3.16228e-05 0.00251189 4.58673e-09
3.16228e-05 0.00316228 1.93313e-08
3.16228e-05 0.00398107 1.02777e-07
3.16228e-05 0.00501187 1.71958e-07
3.16228e-05 0.00630957 9.96103e-08
3.16228e-05 0.00794328 7.73492e-08
3.16228e-05 0.01 9.6006e-08
3.16228e-05 0.0125893 1.1358e-07
3.16228e-05 0.0158489 8.62275e-08
3.16228e-05 0.0199526 8.24335e-08
3.16228e-05 0.0251189 6.0252e-08
3.16228e-05 0.0316228 8.9311e-08
3.16228e-05 0.0398107 9.70236e-08
3.16228e-05 0.0501187 8.00579e-08
3.16228e-05 0.0630957 6.62268e-08
3.16228e-05 0.0794328 1.02855e-07
3.16228e-05 0.1 6.71314e-08
3.16228e-05 0.125893 7.00679e-08
3.16228e-05 0.158489 9.30351e-08
3.16228e-05 0.199526 5.53463e-08
3.16228e-05 0.251189 8.86546e-08
3.16228e-05 0.316228 7.21386e-08
3.16228e-05 0.398107 7.51923e-08
3.16228e-05 0.501187 7.68927e-08
3.16228e-05 0.630957 9.65413e-08
3.16228e-05 0.794328 1.13512e-07
3.16228e-05 1 1.21225e-07
3.16228e-05 1.25893 6.85489e-08
3.16228e-05 1.58489 8.81245e-08
3.16228e-05 1.99526 9.9289e-08
3.16228e-05 2.51189 5.96663e-08
3.16228e-05 3.16228 7.11709e-08
3.16228e-05 3.98107 8.34508e-08
3.16228e-05 5.01187 6.24589e-08
3.16228e-05 6.30957 1.07101e-07
3.16228e-05 7.94328 5.32451e-08
3.16228e-05 10 8.50078e-08
3.16228e-05 12.5893 6.15489e-08
3.16228e-05 15.8489 5.18379e-08
3.16228e-05 19.9526 8.17887e-08
3.16228e-05 25.1189 7.91235e-08
3.16228e-05 31.6228 1.08257e-07
3.16228e-05 39.8107 1.15604e-07
3.16228e-05 50.1187 8.71327e-08
3.16228e-05 63.0957 8.08933e-08
3.16228e-05 79.4328 7.83249e-08
3.98107e-05 0.0001 1.13426e-08
3.98107e-05 0.000125893 1.22844e-08
3.98107e-05 0.000158489 1.37707e-08
3.98107e-05 0.000199526 1.61155e-08
3.98107e-05 0.000251189 1.9851e-08
3.98107e-05 0.000316228 2.59223e-08
3.98107e-05 0.000398107 3.59642e-08
3.98107e-05 0.000501187 5.24788e-08
3.98107e-05 0.000630957 7.84722e-08
3.98107e-05 0.000794328 1.15649e-07
3.98107e-05 0.001 1.58321e-07
3.98107e-05 0.00125893 1.79776e-07
3.98107e-05 0.00158489 1.36935e-07
3.98107e-05 0.00199526 4.75147e-08
3.98107e-05 0.00251189 7.26995e-09
3.98107e-05 0.00316228 3.06376e-08
3.98107e-05 0.00398107 1.62889e-07
3.98107e-05 0.00501187 2.72534e-07
3.98107e-05 0.00630957 1.5787e-07
3.98107e-05 0.00794328 1.2259e-07
3.98107e-05 0.01 1.52157e-07
3.98107e-05 0.0125893 1.8001e-07
3.98107e-05 0.0158489 1.3666e-07
3.98107e-05 0.0199526 1.30646e-07
3.98107e-05 0.0251189 9.54911e-08
3.98107e-05 0.0316228 1.41546e-07
3.98107e-05 0.0398107 1.5377e-07
3.98107e-05 0.0501187 1.26881e-07
3.98107e-05 0.0630957 1.0496e-07
3.98107e-05 0.0794328 1.63013e-07
3.98107e-05 0.1 1.06394e-07
3.98107e-05 0.125893 1.11049e-07
3.98107e-05 0.158489 1.47448e-07
3.98107e-05 0.199526 8.77162e-08
3.98107e-05 0.251189 1.40506e-07
3.98107e-05 0.316228 1.1433e-07
3.98107e-05 0.398107 1.1917e-07
3.98107e-05 0.501187 1.21865e-07
3.98107e-05 0.630957 1.53005e-07
3.98107e-05 0.794328 1.79902e-07
3.98107e-05 1 1.92127e-07
3.98107e-05 1.25893 1.0864e-07
3.98107e-05 1.58489 1.39665e-07
3.98107e-05 1.99526 1.5736e-07
3.98107e-05 2.51189 9.45625e-08
3.98107e-05 3.16228 1.12796e-07
3.98107e-05 3.98107 1.32258e-07
3.98107e-05 5.01187 9.8989e-08
3.98107e-05 6.30957 1.69741e-07
3.98107e-05 7.94328 8.43867e-08
3.98107e-05 10 1.34726e-07
3.98107e-05 12.5893 9.75465e-08
3.98107e-05 15.8489 8.21559e-08
3.98107e-05 19.9526 1.29624e-07
3.98107e-05 25.1189 1.254e-07
3.98107e-05 31.6228 1.71574e-07
3.98107e-05 39.8107 1.83218e-07
3.98107e-05 50.1187 1.38094e-07
3.98107e-05 63.0957 1.28205e-07
3.98107e-05 79.4328 1.24134e-07
5.01187e-05 0.0001 1.79759e-08
5.01187e-05 0.000125893 1.94684e-08
5.01187e-05 0.000158489 2.1824e-08
5.01187e-05 0.000199526 2.55399e-08
5.01187e-05 0.000251189 3.14601e-08
5.01187e-05 0.000316228 4.10821e-08
5.01187e-05 0.000398107 5.69971e-08
5.01187e-05 0.000501187 8.31707e-08
5.01187e-05 0.000630957 1.24367e-07
5.01187e-05 0.000794328 1.83289e-07
5.01187e-05 0.001 2.50922e-07
5.01187e-05 0.00125893 2.84926e-07
5.01187e-05 0.00158489 2.17027e-07
5.01187e-05 0.00199526 7.53053e-08
5.01187e-05 0.00251189 1.1523e-08
5.01187e-05 0.00316228 4.85563e-08
5.01187e-05 0.00398107 2.58159e-07
5.01187e-05 0.00501187 4.31937e-07
5.01187e-05 0.00630957 2.50204e-07
5.01187e-05 0.00794328 1.94291e-07
5.01187e-05 0.01 2.41149e-07
5.01187e-05 0.0125893 2.85293e-07
5.01187e-05 0.0158489 2.16588e-07
5.01187e-05 0.0199526 2.07057e-07
5.01187e-05 0.0251189 1.51339e-07
5.01187e-05 0.0316228 2.24332e-07
5.01187e-05 0.0398107 2.43705e-07
5.01187e-05 0.0501187 2.01089e-07
5.01187e-05 0.0630957 1.66347e-07
5.01187e-05 0.0794328 2.58355e-07
5.01187e-05 0.1 1.68619e-07
5.01187e-05 0.125893 1.75998e-07
5.01187e-05 0.158489 2.33685e-07
5.01187e-05 0.199526 1.39017e-07
5.01187e-05 0.251189 2.22684e-07
5.01187e-05 0.316228 1.81196e-07
5.01187e-05 0.398107 1.88868e-07
5.01187e-05 0.501187 1.9314e-07
5.01187e-05 0.630957 2.42492e-07
5.01187e-05 0.794328 2.85122e-07
5.01187e-05 1 3.04496e-07
5.01187e-05 1.25893 1.72178e-07
5.01187e-05 1.58489 2.2135e-07
5.01187e-05 1.99526 2.49395e-07
5.01187e-05 2.51189 1.49867e-07
5.01187e-05 3.16228 1.78766e-07
5.01187e-05 3.98107 2.09611e-07
5.01187e-05 5.01187 1.56883e-07
5.01187e-05 6.30957 2.69016e-07
5.01187e-05 7.94328 1.33742e-07
5.01187e-05 10 2.13523e-07
5.01187e-05 12.5893 1.54597e-07
5.01187e-05 15.8489 1.30205e-07
5.01187e-05 19.9526 2.05436e-07
5.01187e-05 25.1189 1.98742e-07
5.01187e-05 31.6228 2.71922e-07
5.01187e-05 39.8107 2.90375e-07
5.01187e-05 50.1187 2.18859e-07
5.01187e-05 63.0957 2.03187e-07
5.01187e-05 79.4328 1.96735e-07
6.30957e-05 0.0001 2.8488e-08
6.30957e-05 0.000125893 3.08532e-08
6.30957e-05 0.000158489 3.45863e-08
6.30957e-05 0.000199526 4.04752e-08
6.30957e-05 0.000251189 4.98576e-08
6.30957e-05 0.000316228 6.51068e-08
6.30957e-05 0.000398107 9.03297e-08
6.30957e-05 0.000501187 1.31811e-07
6.30957e-05 0.000630957 1.97104e-07
6.30957e-05 0.000794328 2.90489e-07
6.30957e-05 0.001 3.97683e-07
6.30957e-05 0.00125893 4.51578e-07
6.30957e-05 0.00158489 3.43965e-07
6.30957e-05 0.00199526 1.1935e-07
6.30957e-05 0.00251189 1.82647e-08
6.30957e-05 0.00316228 7.69547e-08
6.30957e-05 0.00398107 4.09147e-07
6.30957e-05 0.00501187 6.84571e-07
6.30957e-05 0.00630957 3.9654e-07
6.30957e-05 0.00794328 3.07928e-07
6.30957e-05 0.01 3.82188e-07
6.30957e-05 0.0125893 4.52154e-07
6.30957e-05 0.0158489 3.43262e-07
6.30957e-05 0.0199526 3.28155e-07
6.30957e-05 0.0251189 2.39849e-07
6.30957e-05 0.0316228 3.55535e-07
6.30957e-05 0.0398107 3.86238e-07
6.30957e-05 0.0501187 3.18696e-07
6.30957e-05 0.0630957 2.63635e-07
6.30957e-05 0.0794328 4.09458e-07
6.30957e-05 0.1 2.67236e-07
6.30957e-05 0.125893 2.78933e-07
6.30957e-05 0.158489 3.70357e-07
6.30957e-05 0.199526 2.20321e-07
6.30957e-05 0.251189 3.52924e-07
6.30957e-05 0.316228 2.87169e-07
6.30957e-05 0.398107 2.99328e-07
6.30957e-05 0.501187 3.06099e-07
6.30957e-05 0.630957 3.84314e-07
6.30957e-05 0.794328 4.5188e-07
6.30957e-05 1 4.82585e-07
6.30957e-05 1.25893 2.72875e-07
6.30957e-05 1.58489 3.50807e-07
6.30957e-05 1.99526 3.95256e-07
6.30957e-05 2.51189 2.37514e-07
6.30957e-05 3.16228 2.83317e-07
6.30957e-05 3.98107 3.32203e-07
6.30957e-05 5.01187 2.48636e-07
6.30957e-05 6.30957 4.26353e-07
6.30957e-05 7.94328 2.11962e-07
6.30957e-05 10 3.38403e-07
6.30957e-05 12.5893 2.45012e-07
6.30957e-05 15.8489 2.06354e-07
6.30957e-05 19.9526 3.25585e-07
6.30957e-05 25.1189 3.14978e-07
6.30957e-05 31.6228 4.30959e-07
6.30957e-05 39.8107 4.60204e-07
6.30957e-05 50.1187 3.46859e-07
6.30957e-05 63.0957 3.22022e-07
6.30957e-05 79.4328 3.11796e-07
7.94328e-05 0.0001 4.51468e-08
7.94328e-05 0.000125893 4.8895e-08
7.94328e-05 0.000158489 5.48109e-08
7.94328e-05 0.000199526 6.41433e-08
7.94328e-05 0.000251189 7.90123e-08
7.94328e-05 0.000316228 1.03179e-07
7.94328e-05 0.000398107 1.43154e-07
7.94328e-05 0.000501187 2.08897e-07
7.94328e-05 0.000630957 3.12378e-07
7.94328e-05 0.000794328 4.60387e-07
7.94328e-05 0.001 6.30283e-07
7.94328e-05 0.00125893 7.15704e-07
7.94328e-05 0.00158489 5.45145e-07
7.94328e-05 0.00199526 1.89156e-07
7.94328e-05 0.00251189 2.89513e-08
7.94328e-05 0.00316228 1.21961e-07
7.94328e-05 0.00398107 6.48441e-07
7.94328e-05 0.00501187 1.08497e-06
7.94328e-05 0.00630957 6.28461e-07
7.94328e-05 0.00794328 4.88029e-07
7.94328e-05 0.01 6.05713e-07
7.94328e-05 0.0125893 7.16603e-07
7.94328e-05 0.0158489 5.44021e-07
7.94328e-05 0.0199526 5.20076e-07
7.94328e-05 0.0251189 3.8012e-07
7.94328e-05 0.0316228 5.63469e-07
7.94328e-05 0.0398107 6.12128e-07
7.94328e-05 0.0501187 5.05082e-07
7.94328e-05 0.0630957 4.17818e-07
7.94328e-05 0.0794328 6.48933e-07
7.94328e-05 0.1 4.23525e-07
7.94328e-05 0.125893 4.42068e-07
7.94328e-05 0.158489 5.86958e-07
7.94328e-05 0.199526 3.49172e-07
7.94328e-05 0.251189 5.59333e-07
7.94328e-05 0.316228 4.55115e-07
7.94328e-05 0.398107 4.74388e-07
7.94328e-05 0.501187 4.85121e-07
7.94328e-05 0.630957 6.09077e-07
7.94328e-05 0.794328 7.16165e-07
7.94328e-05 1 7.64827e-07
7.94328e-05 1.25893 4.32459e-07
7.94328e-05 1.58489 5.55972e-07
7.94328e-05 1.99526 6.26422e-07
7.94328e-05 2.51189 3.76417e-07
7.94328e-05 3.16228 4.4901e-07
7.94328e-05 3.98107 5.26489e-07
7.94328e-05 5.01187 3.94048e-07
7.94328e-05 6.30957 6.75704e-07
7.94328e-05 7.94328 3.35929e-07
7.94328e-05 10 5.36317e-07
7.94328e-05 12.5893 3.88303e-07
7.94328e-05 15.8489 3.27036e-07
7.94328e-05 19.9526 5.15999e-07
7.94328e-05 25.1189 4.99191e-07
7.94328e-05 31.6228 6.83007e-07
7.94328e-05 39.8107 7.29355e-07
7.94328e-05 50.1187 5.49716e-07
7.94328e-05 63.0957 5.10353e-07
7.94328e-05 79.4328 4.94146e-07
0.0001 0.0001 7.15456e-08
0.0001 0.000125893 7.74851e-08
0.0001 0.000158489 8.68599e-08
0.0001 0.000199526 1.01649e-07
0.0001 0.000251189 1.25213e-07
0.0001 0.000316228 1.63513e-07
0.0001 0.000398107 2.26865e-07
0.0001 0.000501187 3.31059e-07
0.0001 0.000630957 4.95065e-07
0.0001 0.000794328 7.29648e-07
0.0001 0.001 9.98925e-07
0.0001 0.00125893 1.13432e-06
0.0001 0.00158489 8.63994e-07
0.0001 0.00199526 2.9979e-07
0.0001 0.00251189 4.58922e-08
0.0001 0.00316228 1.93288e-07
0.0001 0.00398107 1.02768e-06
0.0001 0.00501187 1.71954e-06
0.0001 0.00630957 9.96017e-07
0.0001 0.00794328 7.73466e-07
0.0001 0.01 9.5996e-07
0.0001 0.0125893 1.13572e-06
0.0001 0.0158489 8.62189e-07
0.0001 0.0199526 8.24235e-07
0.0001 0.0251189 6.0242e-07
0.0001 0.0316228 8.93006e-07
0.0001 0.0398107 9.70125e-07
0.0001 0.0501187 8.00468e-07
0.0001 0.0630957 6.62167e-07
0.0001 0.0794328 1.02846e-06
0.0001 0.1 6.71211e-07
0.0001 0.125893 7.00609e-07
0.0001 0.158489 9.30229e-07
0.0001 0.199526 5.53373e-07
0.0001 0.251189 8.86455e-07
0.0001 0.316228 7.21276e-07
0.0001 0.398107 7.51825e-07
0.0001 0.501187 7.68839e-07
0.0001 0.630957 9.65283e-07
0.0001 0.794328 1.13501e-06
0.0001 1 1.21213e-06
0.0001 1.25893 6.85364e-07
0.0001 1.58489 8.81119e-07
0.0001 1.99526 9.92778e-07
0.0001 2.51189 5.96545e-07
0.0001 3.16228 7.116e-07
0.0001 3.98107 8.34394e-07
0.0001 5.01187 6.24496e-07
0.0001 6.30957 1.07088e-06
0.0001 7.94328 5.32394e-07
0.0001 10 8.49973e-07
0.0001 12.5893 6.15389e-07
0.0001 15.8489 5.1829e-07
0.0001 19.9526 8.17768e-07
0.0001 25.1189 7.91134e-07
0.0001 31.6228 1.08246e-06
0.0001 39.8107 1.15591e-06
0.0001 50.1187 8.71205e-07
0.0001 63.0957 8.08822e-07
0.0001 79.4328 7.83135e-07
0.000125893 0.0001 1.13378e-07
0.000125893 0.000125893 1.22789e-07
0.000125893 0.000158489 1.37645e-07
0.000125893 0.000199526 1.61081e-07
0.000125893 0.000251189 1.98422e-07
0.000125893 0.000316228 2.59118e-07
0.000125893 0.000398107 3.5952e-07
0.000125893 0.000501187 5.24652e-07
0.000125893 0.000630957 7.84585e-07
0.000125893 0.000794328 1.15638e-06
0.000125893 0.001 1.58318e-06
0.000125893 0.00125893 1.79778e-06
